X1,b0,rho_V,sd_V,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,loglik,loglik.se
60,0.144777308,153.4990435,3610.05796,1.141397464,1.021596455,1.155621038,5.062589767,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9622211,0.040814991
4,0.188070924,150.4847656,3455.826308,1.082180963,0.069444927,1.233304038,9.77218115,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9626537,0.038023251
16,0.174313123,153.7980531,3709.977147,1.108625224,1.482404136,1.160242381,3.635232302,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.973461,0.053715437
25,0.181680616,152.5549801,3526.127672,1.089473189,2.543728401,1.217412543,4.739197743,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9748345,0.052524075
28,0.186169099,155.0455552,3635.226435,1.081780828,1.036841186,1.238230662,7.401935711,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9812712,0.046640036
NA,0.375036958228861,145.50000000000003,3306.707604459739,0.9314268356969893,6.855910556155993,1.162385448891788,18.331248591972127,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9826192514569,0.44362961164365805
38,0.142829401,154.287835,3614.461695,1.133995071,1.526153295,1.1581442,6.444841923,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9826254,0.06672671
NA,0.17727168505987276,148.31712452758302,3304.1338308018417,1.0833898333484369,3.6993547114809995,1.1808137044354277,10.930223815816916,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9851200610201,0.19974626199759
3,0.279365042,152.7313996,3597.747967,1.003367345,0.16578658,1.193633458,6.745146085,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9851626,0.061017796
NA,0.2785774952974756,154.00000000000006,3302.894416819113,0.9899108050219327,0.16038031150684864,1.1124417333323768,16.744165518037324,50000,0.16000000000000003,0.13,0.13999999999999999,0.95,0.04000000000000001,0.010000000000000004,0,0.05000000000000001,0,-760.9908670642842,0.210087668466374
52,0.168814297,152.7715998,3564.423658,1.100702671,2.739846971,1.127694756,7.858405496,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9912047,0.046898841
30,0.160827278,149.3529031,3205.878147,1.125262952,2.001783366,1.200946295,4.729970414,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9923457,0.055386621
36,0.181309357,150.584003,3397.294389,1.07264807,2.828749412,1.172502725,13.04803525,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9933236,0.069108417
11,0.121231134,155.198864,3592.00086,1.188977587,1.341702221,1.137463415,1.960326355,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9942412,0.148571395
9,0.355403432,153.8127915,3668.449712,0.94578097,1.030631983,1.202265934,10.25840624,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9957316,0.110017849
6,0.179475368,154.5655108,3569.406989,1.105096395,0.120055277,1.243517524,3.915766106,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-760.9994331,0.05199186
27,0.180648096,151.9282703,3497.446525,1.094320703,1.968615221,1.181102372,5.124970554,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0018957,0.056520284
NA,0.103674866,153,3560.89026,1.19530778,6.60837509,1.143181715,4.92184755,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.0032944,0.154357393
47,0.350970921,146.7108273,3482.666827,0.96135871,0.596434294,1.180001503,11.76662813,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,-761.005358,0.06254187
