,b0,alpha,iota,sigmaSE,br,N,mu_EI,mu_IR,rho_Y,S_0,E_0,I_0,R_0,eta,od_Y,rho_V,sd_V,loglik,loglik.se
24,0.14152599,1.133981552,0.121013961,1.114098815,8.542150481,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7464517,0.020095632
25,0.205101507,1.051565694,0.267602601,1.111756248,11.78746142,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8319929,0.019599568
26,0.154001105,1.115850151,0.287339249,1.127877637,8.069944919,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7734402,0.011015602
27,0.196250865,1.066002721,0.155646367,1.120282615,9.929217475,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7901311,0.017901219
28,0.140288279,1.133834559,0.48961539,1.146716559,8.633259237,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.821801,0.014802619
29,0.114569819,1.177598258,0.175322209,1.119848485,7.330984604,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8004107,0.021195036
30,0.12796492,1.148751934,0.756003318,1.136897489,8.613835773,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7879132,0.014435298
31,0.161736635,1.100914368,0.995770371,1.111785765,9.197970935,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7968431,0.020381623
32,0.117431164,1.166341004,1.451815352,1.162022341,7.823232089,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8309679,0.014639193
33,0.13955873,1.135917382,0.487546939,1.113686085,8.210251727,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7856505,0.013913976
34,0.179630619,1.088255328,0.347346523,1.124261612,7.918322566,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8055421,0.023477994
35,0.156441881,1.114835571,0.35785447,1.183168674,8.336252161,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.813922,0.021190565
36,0.155313817,1.110673687,0.195158828,1.118523098,10.11423677,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7587888,0.020282837
37,0.139818476,1.141210013,0.340695727,1.105485829,6.071535111,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7613128,0.019168907
38,0.128937609,1.154713189,0.215303873,1.102715603,6.578499788,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7809231,0.022820356
39,0.132480506,1.143567332,0.949924844,1.132935178,9.042915182,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8047408,0.020991668
40,0.1638194,1.101711325,0.425743384,1.12253779,9.662070064,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8217115,0.015892083
1,0.12553803,1.15394409,2.04943247,1.12607775,8.407339506,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8103284,0.017119884
2,0.137457628,1.137242111,0.863040063,1.142641445,8.585540184,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8194498,0.019059195
3,0.150705647,1.119595486,0.271275685,1.157210845,9.524010073,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8055677,0.017615292
4,0.138073092,1.13995704,1.141778982,1.118482518,8.057403155,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8098995,0.027215665
5,0.141683553,1.133920246,0.73715443,1.129922538,8.301102571,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.735672,0.024154109
6,0.142047364,1.129218697,0.480035381,1.100847447,9.93744745,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7898696,0.020979886
7,0.14356949,1.132292932,0.342383739,1.111853867,6.386359176,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7873164,0.021075769
8,0.143248211,1.128471815,0.652976163,1.104360884,8.597777344,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7904772,0.020452768
9,0.160998612,1.109829125,0.544435544,1.12726244,8.430348045,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7920748,0.020110842
10,0.139409695,1.140277626,0.376580467,1.129309017,6.642760945,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7693636,0.02718434
11,0.143645002,1.129854453,0.643292094,1.160210344,7.374102698,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7781663,0.021179347
12,0.138835356,1.138673235,0.369197456,1.143501208,7.0402045,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8147644,0.019605225
13,0.170915505,1.087951445,0.988776553,1.101398479,8.924484368,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8165973,0.024095992
14,0.147598348,1.127884618,0.352106537,1.142720476,8.230381454,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.778278,0.022866215
15,0.145012658,1.122066528,1.214866438,1.140534257,9.87834191,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7832907,0.018733517
16,0.135722986,1.144494684,0.455772517,1.138706648,7.062542944,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7467485,0.025798527
17,0.142043176,1.130001079,0.746269425,1.095685329,8.712907918,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8093258,0.021957091
18,0.138665235,1.135572851,0.412175885,1.112923022,8.913687863,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7457973,0.018647885
19,0.175530296,1.098539087,0.209161269,1.12953931,7.112825577,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7936891,0.022509762
20,0.159314367,1.111801192,0.478364937,1.145354682,7.600101503,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7684528,0.020180687
21,0.15266368,1.112157089,0.799979654,1.123645055,9.044284643,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7625027,0.019518718
22,0.13351771,1.151002606,0.365102468,1.132277045,6.220338121,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7752132,0.016446839
23,0.149898455,1.120127289,0.177805307,1.118830699,7.574687035,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7542049,0.022555083
24,0.155858649,1.116421855,0.955492212,1.150620084,7.162019766,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.8095792,0.021284629
25,0.16420479,1.098374429,0.446887771,1.106706984,9.383640139,50000,0.16,0.13,0.14,0.95,0.04,0.01,0,0.05,0,150,3500,-714.7624358,0.019920446
